"","bin","OCCURRED","LAG"
"17982",362,09/24/11,  0
"17983",362,09/24/11,  0
"17984",174,09/24/11,  0
"17986",174,09/24/11,  0
"17987",362,09/24/11,  0
"17988",362,09/24/11,  0
"17989",362,09/24/11,  0
"17990",416,09/24/11,  0
"17991",245,09/24/11,  0
"17992",362,09/24/11,  0
"17993",362,09/24/11,  0
"17994",362,09/24/11,  0
"17995",362,09/24/11,  0
"18194",469,09/23/11,  0
"18195",493,09/23/11,  0
"18196",67,09/23/11,  0
"18197",492,09/23/11,  0
"18198",492,09/23/11,  0
"18199",78,09/23/11,  0
"18200",469,09/23/11,  0
"18201",78,09/23/11,  0
"18399",512,09/22/11,  0
"18586",528,09/21/11,  0
"18587",508,09/21/11,  0
"18590",292,09/21/11,  1
"18790",51,09/20/11,  0
"18791",491,09/20/11,  0
"18792",338,09/20/11,  1
"18793",365,09/20/11,  0
"18794",492,09/20/11,  0
"18795",338,09/20/11,  1
"18796",491,09/20/11,  0
"18963",512,09/19/11,  0
"18964",40,09/19/11,  1
"18965",512,09/19/11,  0
"19052",20,09/19/11,  0
"19053",511,09/19/11,  0
"19267",79,09/18/11,  0
"19342",284,09/17/11,  0
"19343",284,09/17/11,  0
"19344",284,09/17/11,  0
"19509",512,09/16/11,  0
"19510",94,09/16/11,  0
"19511",511,09/16/11,  0
"19512",368,09/16/11,  0
"19513",545,09/16/11,  0
"19514",94,09/16/11,  0
"19515",545,09/16/11,  0
"19729",55,09/15/11,  0
"19730",491,09/15/11,  0
"19731",571,09/15/11,  0
"19732",491,09/15/11,  0
"19733",245,09/15/11,  0
"19734",245,09/15/11,  0
"19735",419,09/15/11,  0
"19736",55,09/15/11,  0
"19737",56,09/15/11,  0
"19738",65,09/15/11,  0
"19904",79,09/14/11,  0
"19919",511,09/14/11,  0
"19920",79,09/14/11,  0
"19921",80,09/14/11,  0
"19922",270,09/14/11,  0
"19923",270,09/14/11,  0
"19924",559,09/14/11,  0
"19925",198,09/14/11,  0
"19926",63,09/14/11,  0
"19927",270,09/14/11,  0
"19928",270,09/14/11,  0
"20088",40,09/13/11,  0
"20089",12,09/13/11,  0
"20090",12,09/13/11,  0
"20102",511,09/13/11,  0
"20117",511,09/13/11,  0
"20118",559,09/13/11,  0
"20119",197,09/13/11,  0
"20120",448,09/13/11,  0
"20121",79,09/13/11,  0
"20263",40,09/13/11,  0
"20298",112,09/12/11,  0
"20300",55,09/12/11,  0
"20359",568,09/12/11,  3
"20506",315,09/11/11,  0
"20577",494,09/11/11,  0
"20680",290,09/10/11,  0
"20681",547,09/10/11,  0
"20868",394,09/09/11,  0
"20869",67,09/09/11,  0
"20870",65,09/09/11,  0
"20871",316,09/09/11,  0
"20872",316,09/09/11,  0
"20873",394,09/09/11,  0
"20874",174,09/09/11,  0
"20875",65,09/09/11,  0
"20876",511,09/09/11,  0
"20877",65,09/09/11,  0
"21075",42,09/09/11,  0
"21076",42,09/09/11,  0
"21080",492,09/08/11,  0
